,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
160,189,admin,,0.539467271436,4,,low,0.831444386447,Employed,4.0
161,104,support,,0.789125351256,5,,low,0.780337175913,Employed,4.0
162,254,marketing,,0.87085642319,4,,low,0.829745630485,Left,5.0
163,253,sales,,0.557354737359,5,,medium,0.729650605495,Employed,6.0
164,170,sales,,0.661489034844,2,,low,0.48690010474,Employed,8.0
165,195,sales,,0.690941338393,3,,medium,0.87212292845,Employed,3.0
166,255,management,,0.560749082033,5,,medium,0.79270387677,Employed,4.0
167,194,engineering,,0.864980947885,4,,medium,0.547342771376,Employed,2.0
168,260,IT,,0.879114107825,5,,low,0.78934688115,Left,5.0
169,212,finance,1.0,0.420018285301,4,,low,0.371534723609,Employed,2.0
170,219,marketing,,,5,,medium,0.933851070889,Employed,2.0
171,187,management,,0.960285715039,4,,high,0.681413302736,Employed,3.0
172,252,,,0.778952706862,4,,medium,0.770546467945,Employed,6.0
173,281,sales,,0.53193675887,4,,medium,0.190744825973,Employed,7.0
174,163,IT,,0.615938074083,4,,low,0.947393875335,Employed,5.0
175,155,engineering,,0.897609838916,3,,medium,0.946144709958,Employed,3.0
176,208,management,,0.602807580192,4,1.0,high,0.894854282967,Employed,7.0
177,280,sales,,0.948757981958,6,,low,0.15219272264,Left,4.0
178,137,sales,,0.874794039016,3,,low,1.0,Employed,3.0
179,242,information_technology,,0.931466716564,4,,medium,0.635757610027,Employed,2.0
180,229,sales,,0.667988995759,2,,low,0.893746528107,Employed,4.0
181,269,sales,,0.874320460481,6,,low,0.0413017122352,Left,4.0
182,173,,,0.723364872759,5,,low,0.534218145207,Employed,2.0
183,153,support,,0.588430038133,5,,low,0.546394857992,Left,4.0
184,282,,,0.981290494137,6,,medium,0.0635892582279,Left,4.0
185,233,support,,0.543301856706,4,,low,0.581044902784,Employed,4.0
186,275,support,,0.396084594976,3,,low,0.21891461663,Employed,5.0
187,179,support,,0.568593436749,3,,low,0.716163504506,Employed,4.0
188,195,engineering,,0.836247905516,5,,low,0.783391446738,Employed,4.0
189,206,marketing,,0.582062893837,2,,low,0.784731507431,Employed,2.0
190,239,product,,0.919373591281,4,,low,0.829871872261,Left,5.0
191,208,IT,1.0,0.816689813888,4,,low,0.834378675314,Employed,3.0
192,150,engineering,,0.676225844419,3,,medium,0.29292957209,Employed,2.0
193,219,engineering,,,4,,low,0.873812695338,Employed,3.0
194,172,sales,,,5,,low,0.326353372,Left,2.0
195,201,finance,,0.7256709052,3,,medium,0.750231784237,Employed,4.0
196,222,sales,,0.96484757892,5,1.0,medium,0.889826977229,Employed,3.0
197,228,sales,,1.0,2,,low,0.248174994435,Employed,3.0
198,198,,,0.95419104642,2,,low,0.583854409074,Employed,2.0
199,146,marketing,,0.505558308329,2,,low,0.42032739552,Left,3.0
200,219,support,,0.885765849891,6,,low,0.294741730228,Left,5.0
201,257,engineering,,0.831322416354,5,,medium,0.995278006605,Employed,4.0
202,124,sales,,0.640118804888,3,,medium,0.638738856094,Employed,3.0
203,208,,,0.883595218489,4,,medium,0.925668187885,Employed,2.0
204,129,support,,0.402660372147,2,,medium,0.437359473406,Left,3.0
205,259,product,,0.809302269938,3,,high,0.463828673864,Employed,2.0
206,142,support,,0.555112082639,3,,low,0.682987766008,Employed,3.0
207,238,,,0.926769785023,3,,low,0.87516787522,Employed,2.0
208,239,sales,,0.915881388935,4,,low,0.882138138342,Left,5.0
209,152,support,,0.619823018211,2,,low,0.524761712733,Left,3.0
210,248,sales,,0.672234590766,3,,medium,0.718742747149,Employed,4.0
211,111,sales,,0.983301705142,4,,high,0.834831795068,Employed,2.0
212,180,sales,,0.557827629141,4,,high,0.946873068611,Employed,5.0
213,221,support,,0.885106065506,5,,medium,0.794340393572,Left,6.0
214,237,support,,0.443884581204,2,,low,0.530736920966,Employed,2.0
215,213,sales,,0.700835509526,4,,low,0.776922012617,Employed,3.0
216,160,sales,,0.501879663683,2,,low,0.497401977891,Left,3.0
217,255,sales,,0.668790393369,4,,medium,0.911823500862,Employed,2.0
218,288,support,,0.957495482591,6,,medium,0.0684883801632,Left,4.0
219,258,management,,0.781828644136,4,,high,0.703745934075,Employed,3.0
220,199,sales,,0.811335750297,4,,low,0.73722932302,Employed,2.0
221,256,support,,0.407778538729,3,,medium,0.633255105806,Employed,6.0
222,305,finance,,0.84560542652,6,,medium,0.102882469753,Left,4.0
223,185,support,,0.921436202125,5,,low,0.567765322294,Employed,2.0
224,185,IT,,0.662768618144,4,,medium,0.573997861748,Employed,2.0
225,211,information_technology,,0.606593988288,3,,low,0.579431608043,Employed,3.0
226,283,engineering,1.0,0.834331885928,6,,low,0.127897465092,Left,4.0
227,138,engineering,,0.856343723266,5,,low,0.62338956765,Employed,3.0
228,143,support,,0.772785655544,4,,medium,0.829761341379,Employed,3.0
229,134,sales,,,3,,medium,0.451961289545,Employed,3.0
230,234,marketing,,,3,,medium,0.729327343821,Employed,2.0
231,258,engineering,,0.935780677261,4,,medium,0.964425981986,Left,5.0
232,166,sales,,0.575457056316,3,,medium,0.921557036258,Employed,3.0
233,260,IT,,0.81230399818,6,,medium,0.0448441086422,Left,4.0
234,176,sales,,0.430214500907,4,,low,0.319175890928,Employed,2.0
235,153,product,,0.470466922695,2,,low,0.408640713797,Left,3.0
236,154,marketing,,0.547320381543,2,,low,0.341206158147,Left,3.0
237,291,engineering,,0.937830749107,5,,low,0.15214375132,Left,4.0
238,273,marketing,1.0,0.654988147166,6,,medium,0.743338094254,Employed,4.0
239,140,engineering,,0.608738572701,4,,high,0.557744023951,Employed,3.0
240,240,IT,,0.896967279224,5,,medium,0.938703313591,Left,5.0
241,236,sales,,0.587849956416,4,,low,0.794786308325,Employed,4.0
242,242,management,,0.918022858871,4,,medium,0.661007788259,Employed,2.0
243,171,admin,,0.722839486389,4,,medium,0.91059838192,Employed,4.0
244,150,support,,0.874513192065,4,,high,0.480753070183,Employed,2.0
245,152,product,,0.439785251448,2,,low,0.340777989177,Left,3.0
246,182,engineering,,0.747105843109,3,,low,0.855362185381,Left,4.0
247,133,engineering,,0.80989076183,4,1.0,medium,0.747699651697,Employed,3.0
248,230,sales,1.0,0.683940739958,3,,medium,0.587527383433,Employed,3.0
249,251,sales,,0.523232109564,3,,low,0.529079006159,Employed,2.0
250,225,sales,,0.688970081967,5,,medium,0.691658302376,Employed,7.0
251,164,engineering,,0.914324282314,5,,low,0.679091975677,Employed,3.0
252,81,temp,,,1,,low,,Employed,
253,211,sales,,0.881951254586,3,,medium,0.80729330702,Employed,3.0
254,162,sales,,0.797551376616,3,,medium,0.809674388378,Employed,3.0
255,242,,1.0,0.775716408655,4,,medium,0.870238074293,Employed,3.0
256,132,engineering,,0.626425378119,4,,medium,0.567430425777,Employed,4.0
257,149,sales,,0.492048066452,2,,low,0.400385078683,Left,3.0
258,251,engineering,,0.735476322596,6,,low,0.837665155159,Employed,4.0
259,158,IT,,0.546333237781,2,,low,0.391486853786,Left,3.0
260,228,,,0.937202180128,4,,low,0.745604095989,Left,5.0
261,229,support,,0.669369532442,6,,medium,0.513289579828,Employed,3.0
262,272,engineering,,0.782624131562,6,,low,0.0567964616846,Left,4.0
263,195,engineering,1.0,0.946932049647,4,,medium,0.469174880431,Employed,3.0
264,241,,,0.48304389097,3,,medium,0.654685819078,Employed,3.0
265,305,engineering,,0.932577711228,6,,low,0.149254770899,Left,4.0
266,232,sales,,0.715695136914,4,,medium,0.797199338504,Employed,3.0
267,241,engineering,,0.695768463336,4,,high,0.87473351902,Employed,3.0
268,183,management,,0.558828547727,2,,medium,0.322313897127,Employed,2.0
269,135,information_technology,,0.755850361895,4,1.0,medium,0.802298836343,Employed,3.0
270,193,admin,,,3,,medium,1.0,Employed,3.0
271,120,finance,1.0,0.465232047598,3,,medium,0.560616469531,Employed,6.0
272,145,support,,0.460142187271,2,,low,0.394719458297,Left,3.0
273,126,sales,,0.934856574794,5,,medium,0.628427004738,Employed,5.0
274,243,support,,1.0,5,,medium,0.763318737312,Left,5.0
275,252,IT,,0.927306095976,4,,low,0.549252851179,Employed,4.0
276,159,,,0.470259372498,2,,high,0.455563315517,Left,3.0
277,171,support,,0.592567611816,3,,medium,0.584325275099,Employed,3.0
278,223,sales,,0.872945547931,3,,high,0.679167196788,Employed,7.0
279,201,support,1.0,0.810456446752,4,,low,0.848322779997,Employed,2.0
280,261,IT,,0.787146265637,4,,medium,0.865271959793,Employed,2.0
281,298,IT,,0.855277603922,5,,low,0.141536431451,Left,4.0
282,161,management,,0.542174831164,4,1.0,medium,0.673397027743,Employed,7.0
283,134,procurement,,0.697251215436,5,,medium,0.720455911032,Employed,3.0
284,103,product,,0.918905310203,5,,low,0.727818115909,Employed,5.0
285,227,engineering,,0.887557921308,3,,low,0.537563301906,Employed,2.0
286,127,sales,,0.587762987371,2,,low,0.429998207341,Left,3.0
287,204,engineering,,0.508272946753,4,,high,0.576594974244,Employed,3.0
288,145,finance,,0.809748292279,6,,medium,0.708500810514,Employed,3.0
289,243,engineering,,0.978247937409,5,,medium,0.591558862936,Employed,2.0
290,186,IT,,0.482528933636,3,,medium,0.728936841503,Employed,3.0
291,71,temp,,,2,,low,,Employed,
292,185,sales,1.0,0.820544309594,6,,high,1.0,Employed,4.0
293,270,,,0.88150679852,3,,medium,0.683904151157,Employed,6.0
294,267,management,,0.804382998508,3,,high,0.46417577219,Employed,2.0
295,225,finance,,0.484329206635,5,,high,0.842398847393,Employed,2.0
296,170,IT,,0.324238730989,3,,low,0.704781641679,Employed,6.0
297,115,sales,,0.667318626586,2,,high,0.454341666269,Employed,3.0
298,154,IT,,0.619474228566,2,,low,0.438450195343,Left,3.0
299,173,engineering,1.0,0.535500740968,4,,low,0.824315564301,Employed,2.0
300,226,support,,0.648106699752,5,,medium,0.193505896331,Employed,3.0
301,229,sales,,0.760090921353,4,,low,0.522014217515,Employed,3.0
302,134,IT,,0.774788809286,4,,low,0.55317058592,Employed,2.0
303,240,support,,1.0,5,,low,0.849292964739,Left,5.0
304,191,engineering,,0.61776883591,4,,low,0.925228859478,Employed,2.0
305,271,sales,,0.945908852213,5,,low,0.846959030932,Left,5.0
306,269,finance,,0.931231642162,7,,medium,0.141091663898,Left,4.0
307,139,engineering,,0.536879417045,2,,low,0.508276429481,Left,3.0
308,271,finance,,0.878855357632,3,,medium,0.779446773443,Employed,2.0
309,145,support,1.0,0.849128710323,3,,medium,0.870789581504,Employed,3.0
310,304,engineering,,0.788649513595,6,,medium,0.0559878635989,Left,5.0
311,135,support,,0.820126156666,5,,low,0.743488396561,Employed,2.0
312,246,IT,,0.838646296595,4,,high,0.493856859386,Employed,3.0
313,267,sales,,0.917810091926,6,,medium,0.551003282376,Employed,4.0
314,177,engineering,,1.0,3,,medium,0.812509060991,Employed,2.0
315,254,support,,0.600515546403,3,,high,0.876948221628,Employed,2.0
316,155,sales,,,2,,low,0.175041589359,Employed,3.0
317,147,marketing,,0.473579261219,2,,low,0.38642145063,Left,3.0
318,244,IT,,0.673256352795,4,,medium,0.663379466863,Employed,2.0
319,250,sales,1.0,,5,,medium,0.759685040151,Employed,3.0
320,180,engineering,,0.933865141084,5,,high,0.640398816094,Employed,2.0
321,251,engineering,,1.0,4,,low,0.925448859905,Left,6.0
322,134,,,0.730751178474,3,,low,0.904947509685,Employed,3.0
323,271,sales,,0.981718432375,3,,low,0.828495420491,Employed,3.0
324,198,engineering,,0.369245007225,2,,medium,0.282134077183,Employed,4.0
325,135,marketing,1.0,0.98027602669,5,,low,0.734445991267,Employed,4.0
326,203,engineering,,0.821040210255,5,,low,0.938134350653,Employed,3.0
327,287,IT,,0.497424602116,3,,low,0.534208188802,Employed,5.0
328,238,engineering,,0.6871632812,3,,medium,0.820344466123,Employed,2.0
329,160,support,,0.651745864294,3,,medium,0.78066811989,Employed,3.0
330,192,sales,,0.613536810858,2,,low,0.812356586054,Employed,2.0
331,258,product,,,3,,medium,0.692047182338,Employed,3.0
332,240,IT,,0.7516134747,5,,medium,0.751948371783,Employed,4.0
333,178,,,0.70835972273,3,,medium,0.75402137108,Employed,2.0
334,221,sales,,1.0,5,,medium,0.928914976663,Left,6.0
335,138,sales,1.0,0.493111693732,3,,low,0.644223235839,Employed,2.0
336,188,sales,,0.816158788507,2,,low,0.9054105853,Employed,2.0
337,289,support,,0.935601244497,6,,medium,0.177665057968,Left,5.0
338,197,sales,,0.951371729547,4,,medium,0.941884497172,Employed,3.0
339,231,sales,,0.889775426502,4,,low,0.194289584474,Employed,5.0
340,153,sales,1.0,0.501209657783,2,,low,0.44417000952,Left,3.0
341,128,sales,,0.478650944652,2,,medium,0.498347641445,Left,3.0
342,149,admin,,0.505404539268,2,,low,0.451831954865,Left,3.0
343,185,sales,,,3,,low,0.568078977354,Employed,2.0
344,229,engineering,,0.585766859694,5,,medium,0.731081717935,Employed,3.0
345,175,,,0.78103847319,4,,medium,0.52875617964,Employed,2.0
346,128,engineering,,0.54255291766,2,,low,0.414887724174,Left,3.0
347,241,sales,,0.759678231143,5,,high,0.595920716127,Employed,3.0
348,101,temp,,,1,,medium,,Employed,
349,247,engineering,,0.843420422913,4,,low,0.813121979448,Left,6.0
350,269,support,,0.76610731867,3,,medium,0.788812376335,Employed,2.0
351,229,sales,,0.411979487118,5,,low,0.110744049392,Employed,4.0
352,188,engineering,,0.54731507208,3,,high,0.521734232,Employed,3.0
353,212,sales,,0.971187064425,4,,low,0.808803770087,Employed,2.0
354,252,support,,,3,,medium,0.783714977727,Employed,3.0
355,222,sales,,,5,,low,0.947266481076,Employed,2.0
356,270,sales,,0.992404549414,5,,low,0.881872307563,Left,5.0
357,183,marketing,,0.548852484348,4,,low,0.644169889117,Employed,3.0
358,163,marketing,,0.630924087211,5,,medium,0.62182321333,Employed,4.0
359,207,sales,,0.524260524865,4,,low,0.207366945375,Employed,5.0
360,234,sales,1.0,0.679222178437,3,,high,0.697381604958,Employed,3.0
361,121,sales,,0.676053747434,3,,low,0.351328514436,Employed,2.0
362,131,engineering,1.0,0.798732639747,3,,low,0.270826972637,Employed,5.0
363,160,sales,,0.508931775867,2,,low,0.407259340993,Left,3.0
364,207,engineering,,0.971517874083,3,,low,0.620397287624,Employed,10.0
365,224,engineering,,1.0,4,,medium,0.833914798047,Left,5.0
366,132,procurement,,0.485557419301,2,,low,0.445788774149,Left,3.0
367,139,sales,,1.0,5,,medium,0.60631512938,Employed,2.0
368,192,engineering,1.0,0.557127093942,5,,low,0.833812003691,Employed,3.0
369,167,IT,1.0,0.786409373645,4,,medium,0.956516833201,Employed,3.0
370,265,finance,,0.477688571978,3,,low,0.548908318859,Employed,3.0
371,259,product,,0.97294023244,5,,low,0.780662176573,Left,6.0
372,194,engineering,,0.741481516208,5,,low,0.759352064236,Employed,4.0
373,207,marketing,,0.599513317726,3,,medium,0.693813142043,Employed,3.0
374,262,engineering,1.0,0.885969619842,6,,low,0.0672992551918,Left,5.0
375,134,,,0.55571825873,2,,low,0.511041169825,Left,3.0
376,181,product,1.0,0.674986055687,3,,medium,0.511395224583,Employed,3.0
377,134,support,,0.973904455923,4,,medium,0.612973586985,Employed,3.0
378,129,IT,,,2,,low,0.347964564827,Left,3.0
379,220,engineering,,1.0,5,,low,0.738592455354,Left,5.0
380,156,support,1.0,0.620626613476,3,,low,0.687738862372,Employed,6.0
381,211,support,,0.926502829302,3,,medium,0.765325192404,Employed,3.0
382,136,sales,,0.940961680734,5,,low,0.954677252796,Employed,4.0
383,132,engineering,,0.520295533478,2,,medium,0.374531038617,Left,3.0
384,268,finance,1.0,0.886970234057,6,,medium,0.410271278048,Employed,4.0
385,156,sales,,0.734374756702,3,,medium,0.962208333757,Employed,3.0
386,272,sales,,0.956014645106,5,,low,0.839977628983,Left,5.0
387,265,admin,,,4,,low,0.509272071206,Employed,3.0
388,154,finance,,0.462849878443,2,,medium,0.435522751335,Left,3.0
389,230,management,,0.757360870123,5,,high,0.669176180824,Employed,10.0
390,186,support,1.0,0.765095163347,5,,medium,0.296412232556,Employed,4.0
391,129,support,,,2,,medium,0.441719407143,Left,3.0
392,155,sales,,,2,,low,0.445411196705,Left,3.0
393,136,,,0.517539540822,2,,medium,0.423278538325,Left,3.0
394,129,support,,0.665489213519,6,,low,0.440123424369,Employed,5.0
395,147,management,1.0,0.612443964269,2,,low,0.489455675292,Left,3.0
396,159,sales,,0.563007969466,2,,low,0.433555867794,Left,3.0
397,161,IT,,0.66901631851,4,,medium,0.559236788256,Employed,2.0
398,163,engineering,,0.545444024774,6,,low,0.655196422234,Employed,6.0
399,140,,,0.691230981087,5,,medium,0.700583973163,Employed,3.0
400,137,information_technology,,0.54321728853,2,,medium,0.442070474341,Left,3.0
